   ,0   ,1   ,2   ,3
0  ,2500,2500,2500,2500
1  ,2500,2500,2500,2500
2  ,2500,2500,2500,2500
3  ,2500,2500,2500,2500
4  ,2500,2500,2500,2500
5  ,2500,2500,2500,2500
6  ,2500,2500,2500,2500
7  ,2500,2500,2500,2500
8  ,2500,2500,2500,2500
9  ,2500,2500,2500,2500
10 ,2500,2500,2500,2500
11 ,2500,2500,2500,2500
12 ,2500,2500,2500,2500
13 ,2500,2500,2500,2500
14 ,2500,2500,2500,2500
15 ,2500,2500,2500,2500
16 ,2500,2500,2500,2500
17 ,2500,2500,2500,2500
18 ,2500,2500,2500,2500
19 ,2500,2500,2500,2500
20 ,2500,2500,2500,2500
21 ,2500,2500,2500,2500
22 ,2500,2500,2500,2500
23 ,2500,2500,2500,2500
24 ,2500,2500,2500,2500
25 ,2500,2500,2500,2500
26 ,2500,2500,2500,2500
27 ,2500,2500,2500,2500
28 ,2500,2500,2500,2500
29 ,2500,2500,2500,2500
30 ,2500,2500,2500,2500
31 ,2500,2500,2500,2500
32 ,2594,2741,2601,2749
33 ,2573,2719,2569,2719
34 ,2560,2719,2564,2718
35 ,2552,2719,2554,2719
36 ,2547,2719,2542,2721
37 ,2540,2719,2536,2721
38 ,2526,2720,2530,2719
39 ,2517,2721,2519,2719
40 ,2511,2722,2508,2720
41 ,2500,2723,2503,2723
42 ,2492,2725,2494,2725
43 ,2488,2728,2488,2728
44 ,2477,2731,2476,2731
45 ,2470,2734,2470,2734
46 ,2458,2734,2456,2734
47 ,2445,2734,2451,2737
48 ,2443,2736,2442,2736
49 ,2433,2735,2425,2733
50 ,2424,2734,2422,2735
51 ,2415,2733,2409,2732
52 ,2402,2731,2401,2732
53 ,2395,2732,2387,2730
54 ,2384,2730,2384,2734
55 ,2500,2500,2500,2500
56 ,2234,3004,2237,2995
57 ,2238,2949,2240,2944
58 ,2239,2907,2242,2901
59 ,2245,2862,2258,2841
60 ,2249,2827,2247,2827
61 ,2235,2815,2236,2815
62 ,2227,2802,2226,2800
63 ,2212,2798,2211,2796
64 ,2203,2785,2204,2783
65 ,2197,2767,2195,2768
66 ,2239,2708,2239,2706
67 ,2241,2690,2245,2685
68 ,2237,2674,2240,2672
69 ,2232,2663,2233,2665
70 ,2223,2654,2222,2654
71 ,2211,2651,2209,2647
72 ,2500,2500,2500,2500
73 ,2500,2500,2500,2500
74 ,2150,2636,2149,2636
75 ,2153,2617,2154,2619
76 ,2180,2593,2181,2594
77 ,2184,2578,2184,2578
78 ,2184,2565,2187,2562
79 ,2206,2546,2206,2547
80 ,2204,2538,2204,2535
81 ,2207,2526,2207,2522
82 ,2208,2512,2208,2511
83 ,2196,2502,2197,2501
84 ,2203,2490,2203,2489
85 ,2201,2481,2200,2480
86 ,2184,2470,2184,2469
87 ,2181,2458,2180,2457
88 ,2169,2443,2169,2442
89 ,2500,2500,2500,2500
90 ,2500,2500,2500,2500
91 ,2500,2500,2500,2500
92 ,2500,2500,2500,2500
93 ,2500,2500,2500,2500
